Koskela Niko,0:28:17,0:56:17,1:18:21,1:36:22,1:52:58,2:09:10,2:31:08.9
Tarantola Damien,0:28:16,0:56:23,1:18:18,1:36:21,1:53:01,2:09:12,2:31:10.2
Lechner Fabio,0:28:14,0:56:22,1:18:22,1:36:24,1:53:05,2:09:12,2:31:11.7
Hoesli Corsin,0:28:09,0:56:22,1:18:22,1:36:23,1:53:02,2:09:11,2:31:12.2
Poirrier Bastien,0:28:13,0:56:22,1:18:22,1:36:22,1:53:02,2:09:13,2:31:12.2
Guigonnet Loic,0:28:16,0:56:22,1:18:27,1:36:22,1:52:31,2:09:12,2:31:13.3
Auger Antoine,0:28:13,0:56:22,1:18:22,1:36:22,1:52:31,2:08:59,2:31:14.0
Põlluste Mart Kevin,0:28:15,0:56:23,1:18:19,1:36:22,1:52:58,2:09:12,2:31:14.6
Skinstad Petter Soleng,0:28:22,0:56:24,1:18:27,1:36:22,1:53:03,2:09:13,2:33:02.8
Chauvet Benoit,0:28:19,0:56:22,1:18:24,1:36:23,1:54:12,2:09:20,2:33:28.4
Kalev Christopher,0:28:18,0:56:23,1:18:27,1:36:24,1:52:58,2:09:34,2:33:32.9
Mougel Adrien,0:28:21,0:56:22,1:18:25,1:36:23,1:53:02,2:09:31,2:34:51.3
Agnellet Gerard,0:28:16,0:56:25,1:18:25,1:36:42,1:54:54,2:12:26,2:36:39.0
Deswaziere Theo,0:28:18,0:56:21,1:18:23,1:36:24,1:54:12,2:12:26,2:37:30.0
Chambellant Thomas,0:28:18,0:56:25,1:18:25,1:36:44,1:54:54,2:13:20,2:39:31.1
Kaiv Taavi,0:28:16,0:58:43,1:22:12,1:41:23,1:59:07,2:16:44,2:40:32.5
Karlson Joosep,0:28:18,0:57:33,1:21:26,1:40:51,1:59:08,2:16:43,2:41:29.2
Nassar Martin,0:28:21,0:58:27,1:22:13,1:41:21,1:59:19,2:17:20,2:41:54.2
Linnus Sander,0:28:23,0:58:43,1:22:14,1:41:23,1:59:15,2:17:22,2:41:54.3
Nattinen Niko,0:28:16,0:58:43,1:22:14,1:41:23,1:59:17,2:17:23,2:41:54.4
